Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Piaggio,Fly,2012,25000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6.800.000 đ
Yamaha,Mio,2008,27000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6.300.000 đ
Piaggio,Fly,2012,25000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6.800.000 đ
Yamaha,Mio,2008,27000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6.300.000 đ
Piaggio,Liberty,2013,28000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13.500.000 đ
Honda,Vario,2016,8400,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,59.000.000 đ
Yamaha,Exciter,2017,1000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,21.500.000 đ
Honda,Lead,2014,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,21.500.000 đ
Honda,Air Blade,2021,7300,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,55.000.000 đ
Yamaha,Grande,2016,25000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,21.000.000 đ
Yamaha,Exciter,2017,30,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,18.000.000 đ
Honda,Air Blade,2017,13000,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,Bảo hành hãng,26.500.000 đ
Yamaha,Exciter,2020,11000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,29.800.000 đ
Suzuki,Satria,2019,397989,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,24.800.000 đ
Yamaha,Exciter,2016,23456,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,23.500.000 đ
Honda,Lead,2014,20000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,21.500.000 đ
Honda,Air Blade,2010,240000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,19.000.000 đ
Honda,Wave,2011,22222,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.800.000 đ
Piaggio,Primavera,2016,16000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,32.900.000 đ
Honda,Air Blade,2008,29000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.700.000 đ
Honda,Future,2022,8100,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,33.800.000 đ
Honda,SH,2022,6000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,72.500.000 đ
Honda,Vision,2022,4000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,38.500.000 đ
Hãng khác,Dòng khác,2018,20000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,6.500.000 đ
Kymco,People 16 Fi,2015,12000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.000.000 đ
Honda,Vario,2022,1,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,48.500.000 đ
Yamaha,Exciter,2016,34000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,23.500.000 đ
